1;Gostei de um vídeo   no estúdio: João Amoêdo, do Novo;I liked a video in the studio: João Amoêdo, do Novo;Neg,Neu,Pos,Compound;0.0;0.741;0.259;0.4215
0;kkkkkkk eu curto o amoedo, mas as vzs o cara parece um bot mano, sla politico é um bglh q eu aprendi a desgostar;kkkkkkk I miss the amoedo but the vzs the guy looks like a bot mano, political sla is a bglh q I learned to dislike;Neg,Neu,Pos,Compound;0.188;0.681;0.13;-0.1154
0; Então por que vc acha que o governo deve fornecer educação, saúde, segurança, e previdência seu imbecil?;So why do you think the government should provide education, health, safety, and foresight to you imbecile?;Neg,Neu,Pos,Compound;0.152;0.714;0.133;-0.1027
0; Estas camisinhas do governo são uma porcaria pois só a um tamanho único e pior pequeno.;These government condoms suck because only one size is worse and smaller.;Neg,Neu,Pos,Compound;0.375;0.625;0.0;-0.7184
1;Gostei de um vídeo   2018 - Jovem Pan sabatina João Amoêdo;I liked a video 2018 - Young Pan Sabatina João Amoêdo;Neg,Neu,Pos,Compound;0.0;0.714;0.286;0.4215
1;   Vota tudo no  que eh a melhor chance de mudança.  para presidente. Não vote em político de carreira;Vote everything on what is the best chance for change. for president. Do not vote for a career politician;Neg,Neu,Pos,Compound;0.0;0.721;0.279;0.7351
1;Acabei de ter uma conversa muito boa com o pessoal da Associação de Dirigentes Cristãos de Empresa. Obrigado pelo convite! ;I just had a very good conversation with the staff of the Christian Business Leaders Association. Thanks for the invitation!;Neg,Neu,Pos,Compound;0.0;0.715;0.285;0.7495
0;         Bloquei , sem paciência.;I block, without patience.;Neg,Neu,Pos,Compound;0.592;0.408;0.0;-0.4404
0;"         Essa merda alem de falar absurdos sobre genética, ainda quer se convencer que tá certo...

Ele mesmo dá like nas msg dele p parecer que tá com platéia

O pior é que gerações atuais dependeram da mão de obra dessa geração idiota, acéfala, vitimista

Estamos fudidos...";"This shit besides talking absurd about genetics, still wants to convince itself that it&#39;s right ... It even gives like in the msg of it seems to be with the audience The worst thing is that current generations depended on the workmanship of this idiot generation, acephale, victimizer We&#39;re fucked ...";Neg,Neu,Pos,Compound;0.279;0.654;0.067;-0.9458
0;"         Oh seu imbecil

O termo em questão é o ""SER""

O cabelo que cai da sua cabeça não sai correndo pra longe idiota, mesmo tendo seu DNA

VC não tem noção nenhuma de biologia, é um patife, um peso social

Geração bosta q não aceitar errar e quer pagar de ""lacrador""

#PaiChoraNoBanho";"Oh, you imbecile. The term in question is the &quot;BEING&quot; The hair that falls from your head does not run away idiot, even if your DNA has no VC no notion of biology, is a scoundrel, a social weight Generation bullshit not accept err and want to pay for &quot;lacquer&quot; #PaiChoraNoBanho";Neg,Neu,Pos,Compound;0.25;0.683;0.067;-0.8745
1;" Oi por favor me ajuda a divulgar.... Basta compartilhar e pedir aos seus seguidores por mim. Estou perdendo toda a audição preciso correr contra o tempo. Se puder colocar no YouTube tbm... Me ajuda? 

";"Hi please help me spread the word .... Just share and ask your followers for me. I&#39;m losing all my hearing I need to race against time. If you can put it on YouTube too ... Will you help me?";Neg,Neu,Pos,Compound;0.056;0.731;0.213;0.743
1;  Estive lá, e foi apenas um local de reunião. Não teve nada de religião no evento. Mas concordo, não se deve misturar, e não misturaram.;I was there, and it was just a meeting place. There was no religion at the event. But I agree, they should not mix, and they did not mix.;Neg,Neu,Pos,Compound;0.077;0.836;0.087;0.0772
1;  Estive lá, e foi apenas um local de reunião. Não teve nada de religião no evento. Mas concordo, não se deve misturar, e não misturaram.;I was there, and it was just a meeting place. There was no religion at the event. But I agree, they should not mix, and they did not mix.;Neg,Neu,Pos,Compound;0.077;0.836;0.087;0.0772
1;Gostei de um vídeo   Viva | João Amoêdo | 21/05/2018;I liked a video Viva | João Amoêdo | 05/21/2018;Neg,Neu,Pos,Compound;0.0;0.641;0.359;0.4215
1;  Você vota baseado em pesquisas ou em ideias? Se pesquisa definisse alguma coisa, não precisava de eleições. Faz a pesquisa e ignora o voto então...;Do you vote based on research or ideas? If research defined something, it did not need elections. Do the research and ignore the vote then ...;Neg,Neu,Pos,Compound;0.091;0.909;0.0;-0.3612
0;  Mesmo nível.;Same level.;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;"   Miguel não perde tempo com alguém que vai votar em um estadista que não entende nada de economia e acha que ""falso"" moralismo mata fome de uma crise econômica.  
Bolsonaro = lula militar";"Miguel does not spend time with someone who is going to vote for a statesman who does not understand anything about economics and thinks that &quot;false&quot; moralism kills the starvation of an economic crisis. Bolsonaro = military squid";Neg,Neu,Pos,Compound;0.183;0.817;0.0;-0.8225
1; Qué grande Ale!!! Vamo arriba!!;"What a great Ale !!! Let&#39;s go upstairs !!";Neg,Neu,Pos,Compound;0.0;0.571;0.429;0.7405
0;         Processo natural? Ou já vai acusar até a natureza?;Natural process? Or will you accuse even nature?;Neg,Neu,Pos,Compound;0.169;0.563;0.268;0.264
1;   Discordo!! Precisamos dele presidente!!;I disagree!! We need him president !!;Neg,Neu,Pos,Compound;0.43;0.57;0.0;-0.5815
1;  😌😌😌;(I.e.;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;"La chica que cantó recién me hace acordar a Paula Amoedo
MICA VICICONTE EN LA TRIBUNA 
#MicaViciconteIG #Micaelistas #KCAArgentina";The girl who sang just made me remember Paula Amoedo MICA VICICONTE IN THE TRIBUNE #MicaViciconteIG #Micaelistas #KCAArgentina;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0; eu apóio o ideário capitalista e liberal mas nao gosto de religao;I support the capitalist and liberal ideology but I do not like religion;Neg,Neu,Pos,Compound;0.197;0.666;0.137;-0.2059
1;         Seguindo a linha de raciocínio de vocês toda mulher aborta. Pois todas menstruam.;Following the line of reasoning of you every woman aborts. For all menstruate.;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;Gostei de um vídeo   Eleições: João Amoêdo – Parte 2;I like a video Elections: João Amoêdo - Part 2;Neg,Neu,Pos,Compound;0.0;0.667;0.333;0.3612
1;   Nope. Não compensa.;Nope. It does not pay.;Neg,Neu,Pos,Compound;0.0;0.755;0.245;0.0762
1;Amanhã, às 19h15, tem  ao Vivo no Facebook. O assunto da conversa vai ser o fim dos privilégios, uma das bandeiras do NOVO. Compartilhe, comente, participe. Com a participação de todos, vamos fazer um NOVO Brasil. ;"Tomorrow, at 7:15 pm, you have Live on Facebook. The subject of the conversation will be the end of the privileges, one of the flags of the NEW. Share, comment, participate. With the participation of all, let&#39;s make a NEW Brazil.";Neg,Neu,Pos,Compound;0.0;0.888;0.112;0.5859
0;"BECO - Vaguei (Prod. Amoedo)
Escuta essa porra
";BECO - Vaguei (Prod. Amoedo) Listen this damn thing;Neg,Neu,Pos,Compound;0.309;0.691;0.0;-0.481
1;"         O cara voltou a defender aborto masculino?
Huahuahua";The guy again defended male abortion? Huahuahua;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;BECO - Vaguei (Prod. Amoedo)  via ;BECO - Vaguei (Prod. Amoedo) via;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1; João Amoedo. Novo30;João Amoedo. New30;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;"É muito interessante ver os togados do  ""trabalhando"" pelo Brasil!!! .. É praticamente UMA PIADA PRONTA SEM GRAÇA!        ";"It is very interesting to see the togados of &quot;working&quot; in Brazil !!! .. It&#39;s practically a JOKE READY WITHOUT GRACE!";Neg,Neu,Pos,Compound;0.0;0.536;0.464;0.9308
0;"         PORRA
ESSE JASPION DA CRACOLANDIA É CHATO PRA CARALHO";FUCK THIS JASPION CRACOLANDIA IS BORING TO FUCK YOU;Neg,Neu,Pos,Compound;0.608;0.392;0.0;-0.8519
1;  Perfeito...      ;Perfect...;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;"Obrigado a todos que estão ajudando a divulgar as ideias por um NOVO Brasil.
";Thank you to all who are helping to spread the word about a NEW Brazil.;Neg,Neu,Pos,Compound;0.0;0.719;0.281;0.5719
0;"         Gameta masculino tem ou não dna humano boçal....

Responde ai.";Male gameta has or not dna human boçal .... Answer ai.;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;   No ano passado quando ele veio e salvou o Vitória você não falou isso né? Caráter e pra poucos;Last year when he came and saved the Victory you did not say that right? Character and for few;Neg,Neu,Pos,Compound;0.0;0.865;0.135;0.4215
1;"         É so ver o teato pejorativo a mulheres do auto entitulado ""cristão""";"It is only to see the pejorative theatricality of women of the self titled &quot;Christian&quot;";Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;Excelente escalação do pré-candidato a Deputado pelo Distrito Federal, . ;Excellent ranking of the pre-candidate to Deputy by the Federal District,.;Neg,Neu,Pos,Compound;0.0;0.73;0.27;0.5719
0;"        Resposta simples.

- um ensaio fotográfico te faz um drogado....

Agora entendo o porque usa fake.

Vive de calúnia.";Simple answer. - a photo essay makes you a junkie .... Now I understand why he uses fake. He lives on slander.;Neg,Neu,Pos,Compound;0.154;0.846;0.0;-0.4767
1; 😂;(I.e.;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;        Falar asneira, dizendo que ta dialogando é bem tipico de pessoas como você.;Speak shabbiness, saying that talking is very typical of people like you.;Neg,Neu,Pos,Compound;0.0;0.815;0.185;0.3612
0;Macri entrou na onda populista, não corta privilegios, enm maquina estatal, o resultado uma crise brutal, povão pagando pato...para não cometer esse erro, chega da velha politica..Voto     ;Macri entered the populist wave, did not cut privileges, in the state machine, the result was a brutal crisis, people paying ducks ... not to make that mistake, enough of the old politics ... Vote;Neg,Neu,Pos,Compound;0.293;0.665;0.042;-0.8994
0;  Com certeza, mas o tempo urge e ele poderia fazer um bom governo no RJ precisamos urgente de um governador do perfil dele. Estamos lascados nessa eleição por aqui.;Sure enough, but time is pressing and he could make a good government in RJ we urgently need a governor of his profile. We are chipped in this election here.;Neg,Neu,Pos,Compound;0.0;0.825;0.175;0.6705
0;"Quando vamos nos livrar dos cartórios? Estou há meia hora aqui. Meia hora jogada no lixo. Cartório lotado. Dinheiro demais pra algo completamente improdutivo.
Só o  disse que daria fim a esse martírio, caso se eleja.";"When are we going to get rid of the notaries? I&#39;ve been here for half an hour. Half an hour thrown in the trash. Crowded office. Too much money for something completely unproductive. I only told you that you would end this martyrdom, if you choose.";Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;  Uma coisa, é em um local de religião se discutir política. Outra coisa muito diferente, é usar política para impor religião. Não confunda.;One thing, it is in a place of religion if you discuss politics. Another very different thing is to use politics to impose religion. Do not confuse.;Neg,Neu,Pos,Compound;0.079;0.861;0.06;-0.1366
0;"O PARTIDO NOVO JÁ NASCEU 'VELHO'!!!😏

";"THE NEW PARTY HAS ALREADY BEEN &#39;OLD&#39; !!!";Neg,Neu,Pos,Compound;0.0;0.619;0.381;0.6496
0;Sempre que vejo as participações do João Amoêdo em programas de entrevistas me é impossível não enxergá-lo como alguém que, sem pestanejar, jogaria fora a criança junto com a água do banho. Demonstra um nível de conhecimento social e político primários.;"Whenever I see João Amoedo&#39;s participation in talk shows, it is impossible for me not to see him as someone who, without blinking, would throw away the child along with the bath water. Demonstrates a level of primary social and political knowledge.";Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;Nose Uds pero desde ahora en Rusia2018 #YoUruguayo por tantas cosas por tanta música, vecino, reflejo de un espejo distorsionado  cielo de un solo color, al otro lado del rio, Con libertad no ofendo ni temo...Oriental en la vida y en la muerte también...vamo arriba la celeste !!! ;Nose Uds but from now in Russia2018 #YoUruguayo for so many things for so much music, neighbor, reflection of a mirror distorted sky of a single color, across the river, With freedom do not offend nor fear ... Oriental in life and in death too ... we go above the sky !!!;Neg,Neu,Pos,Compound;0.191;0.685;0.124;-0.6653
0;"💥 MARAVILHOSAS ELAS 💥
.
Para ver sus coreos busca en YouTube el canal ""Paula Amoedo"" (3er foto)
O en ig 👉  
La rompen toda🔥
.
(Bailarinas de izquierda a derecha)  ❤… ";"💥 WONDERFUL ELAS 💥. To see their coreos, search YouTube on the channel &quot;Paula Amoedo&quot; (3rd photo) Or in ig 👉 La ruppen toda🔥. (Dancers from left to right) ❤ ...";Neg,Neu,Pos,Compound;0.0;0.859;0.141;0.6633
1;"✨ MARAVILHOSAS ✨
Grupo Bahia Blanca👏
.
Para ver sus coreos busca en YouTube el canal ""Paula Amoedo"" (4ta foto)
O en ig 👉 maravilhosasbahia
.
Bailarinas:
nadinearigarcia 💥 morecorribolo 💥… ";"✨ WONDERFUL ✨ Bahia Blanca Group. To see their coreos search YouTube on the channel &quot;Paula Amoedo&quot; (4th photo) Or en ig 👉 marvelasbahia. Ballerinas: nadinearigarcia 💥 morecorribolo 💥 ...";Neg,Neu,Pos,Compound;0.0;0.844;0.156;0.6633
1;"Um exemplo de como um Estado grande e repleto de privilégios atrapalha nosso desenvolvimento e reforça desigualdades. 
A vereadora do NOVO em SP, , foi um dos únicos 6 votos contra esse absurdo. #TemQueAcabar 

";An example of how a large and privileged state hinders our development and reinforces inequalities. The councilor of NOVO in SP, was one of only 6 votes against this absurd. #Take It Up;Neg,Neu,Pos,Compound;0.0;0.912;0.088;0.4404
1;"Político reajustando o próprio salário e recebendo benefícios injustificáveis com dinheiro público? Retuíte se você também acha que tem que acabar. 
#FimDosPrivilégios ";Politician readjusting his own salary and receiving unjustifiable benefits with public money? Go back if you also think you have to stop. #PrivacyPrivacy;Neg,Neu,Pos,Compound;0.085;0.814;0.101;0.1027
0;"   ""... que dá prejuízo pra vender a preço de banana...""";"&quot;... that gives damage to sell at a banana price ...&quot;";Neg,Neu,Pos,Compound;0.262;0.738;0.0;-0.4939
1;" estou na ponta ""positiva"" nessa questão. O grande problema é: O candidato que popularizou nessa ponta pouco me agrada. Gostaria muito de presenciar um João Amoedo com uma mesma performance nas pesquisas, mas infelizmente não será agora.";"I&#39;m on the &quot;positive&quot; tip on this issue. The big problem is: The candidate who popularized this tip I do not like. I would like to witness a João Amoedo with the same research performance, but unfortunately it will not be now.";Neg,Neu,Pos,Compound;0.183;0.773;0.044;-0.6261
0;   Não fez exatamente pq querem sucatear a empresa pra.dizer que da prejuízo e vender emprego de bananas. Depois disso é só comprar.o.mesmo.produto pelo dobro do preço do cumpadi empresário que doa pra minha campanha. Modus operandis.;It did not exactly because they want to scrap the company to say that they are doing harm and selling bananas. After that, just buy the same product for twice the price of the cumpadi businessman who donates to my campaign. Modus operandis.;Neg,Neu,Pos,Compound;0.076;0.895;0.028;-0.4939
1;    a  roubou a sua cara.;stole it from your face.;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;João Amoêdo define Christian Lohbauer como seu Vice-Presidente  via ;João Amoêdo defines Christian Lohbauer as his Vice President via;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;Gostei de um vídeo   Chamada entrevista João Amoêdo | Segunda Chamada #17;I like a video Call interview João Amoêdo | Second Call # 17;Neg,Neu,Pos,Compound;0.0;0.762;0.238;0.3612
1;" Colocou ""cristão"" no nome de qualquer entidade, foge que é coisa do diabo.";"He put &quot;Christian&quot; in the name of any entity, it escapes that it is thing of the devil.";Neg,Neu,Pos,Compound;0.201;0.731;0.068;-0.5994
1;    Muito diferente não é mesmo??? #SQNunca ;Very different is not it ??? #SQNever;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;si Uruguay va a penales el viernes voy a estar así ;if Uruguay goes to penalties on Friday I will be like this;Neg,Neu,Pos,Compound;0.0;0.8;0.2;0.3612
1;Gostei de um vídeo   Amoêdo - Pânico - 16/02/18;I liked a video Amoêdo - Panic - 02/16/18;Neg,Neu,Pos,Compound;0.363;0.33;0.308;-0.128
1;  A ideia é através de um canditado a presidência fortalecer a sigla e atrair atenção,  talvez no futuro ele tenha uma chance real de ganhar...;The idea is through a presidential candidate to strengthen the acronym and attract attention, maybe in the future he has a real chance to win ...;Neg,Neu,Pos,Compound;0.0;0.654;0.346;0.8625
1;  É o menos pior.  O único bom é  .;"It&#39;s the least of it. The only good thing is.";Neg,Neu,Pos,Compound;0.0;0.756;0.244;0.4404
1;  sabe como posso conseguir mais informações sobre o painel?;Do you know how I can get more information about the panel?;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1; Piada não é possível;Joke is not possible.;Neg,Neu,Pos,Compound;0.0;0.577;0.423;0.296
0; KAKAKAK O PIOR DE TUDO É O AMOEDO COLOCANDO ISSO COMO SE FOSSE ALGO IMPORTANTE KKKKKK;KAKAKAK THE WORST OF ALL IS THE AMOEDO POSING THAT AS IT WAS SOMETHING IMPORTANT KKKKKK;Neg,Neu,Pos,Compound;0.206;0.704;0.09;-0.5106
1;  Não perco tempo com candidatos que não sai do 1% de intenções de voto! #Sorry ;I do not waste time with candidates who do not leave 1% of voting intentions! #Sorry;Neg,Neu,Pos,Compound;0.0;0.775;0.225;0.416
1; Pena da baixa popularidade,meu candidato seria o senhor.;Pity of low popularity, my candidate would be the Lord.;Neg,Neu,Pos,Compound;0.299;0.486;0.215;-0.0516
1; Política e religião não combinam.;Politics and religion do not match.;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;"            O twitter do cara é ""Leo AMOEDO 30 NOVO"", estamos cansado de saber que o NOVO nunca foi e nunca será de direita. Assim como o PT tem sua linha auxiliar que é o PSOL, agora o PSDB tem sua linha auxiliar que é o NOVO. Maioria dos seus pre-candidatos vieram do PSDB e outros lixos.";"The guy&#39;s twitter is &quot;Leo AMOEDO 30 NEW&quot;, we are tired of knowing that the NEW has never been and will never be right. Just as the PT has its auxiliary line which is the PSOL, now the PSDB has its auxiliary line which is the NEW. Most of your pre-candidates came from the PSDB and other junk.";Neg,Neu,Pos,Compound;0.048;0.952;0.0;-0.4404
0; Ter fabica estatal de camisinha é de fuder;To have state manufacture of condoms is to fuck;Neg,Neu,Pos,Compound;0.304;0.696;0.0;-0.5423
0; Você é muito bom para esse país que todos querem delapidar..... Candidata-se ao Senado ou para o governo do RJ, terá muito mais chance de fazer nome pleaseeee;You are very good for this country that everyone wants to lose ..... Candidates for the Senate or for the government of RJ, will have much more chance to make name pleaseeee;Neg,Neu,Pos,Compound;0.073;0.78;0.148;0.4188
0;"meninas voces tambem quando gosta mto de uma blusa e ela ta rasgada vcs sai com ela mesmo assim e se alguem fala ""MENINA TUA BLUSA TA RASGADA"" tu manda um ""MEU DEUS NAO ACREDITO DEVO TER RASGADO A CAMINHO DAQUI AFF""";"girls you also like when you like a blouse and she is torn you go out with her anyway and if someone says &quot;GIRL YOUR BLOUSE IS RIPPED&quot; you send a &quot;MY GOD I DO NOT BELIEVE I HAVE RIPPED THE PATH OF THAT AFF&quot;";Neg,Neu,Pos,Compound;0.043;0.79;0.167;0.7034
1; futuro presidente !!!!;future president !!!!;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;         Naaa q mal!!  No me importa cuantos  gatos tenga!  Jamas iría a visitarlo en invierno!  Jaja;Naaa q mal !! I do not care how many cats I have! I would never visit him in winter! Haha;Neg,Neu,Pos,Compound;0.121;0.688;0.191;0.3695
1; Prezado,fui almoçar hj na filial de Copacabana ao lado da Amoedo,lamento informa minha insatisfação,comida extremamente ruim,digo ruim,não consegui comer,manifestei minha insatisfação com a moça do caixa (super educada),nada mais acrescentar.;"Dear, I went to lunch at Copacabana&#39;s branch next to Amoedo, I regret to inform you of my dissatisfaction, extremely bad food, I say bad, I could not eat, I expressed my dissatisfaction with the box girl (super educated), nothing more to add.";Neg,Neu,Pos,Compound;0.327;0.623;0.051;-0.9347
1;  👍🏻;(I.e.;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1; No me hubiera imaginado...;I would not have guessed ...;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;"  Eu respeito quem gosta do Bolsonaro, Lula, João Amoêdo e qualquer outro candidato !
Eu não gosto de políticos. Tenho meus motivos.
Mas a forma que a Folha persegue o Bolsonaro com Fake News é bizarro.
Por essas e outras vem perdendo credibilidade.";I respect those who like Bolsonaro, Lula, João Amoêdo and any other candidate! I do not like politicians. I have my reasons. But the way Folha pursues Bolsonaro with Fake News is bizarre. For these and others has been losing credibility.;Neg,Neu,Pos,Compound;0.165;0.661;0.173;0.1007
0;         Nos cagamos en el fucking invierno...  😡😠😤;We shit on the fucking winter ... 😡😠😤;Neg,Neu,Pos,Compound;0.34;0.66;0.0;-0.5574
1;"Eu respeito quem gosta do Bolsonaro, Lula, João Amoêdo e qualquer outro candidato !
Eu não gosto de políticos. Tenho meus motivos.
Mas a forma que a Folha persegue o Bolsonaro com Fake News é bizarro.
Por essas e outras vem perdendo credibilidade.
 ";I respect those who like Bolsonaro, Lula, João Amoêdo and any other candidate! I do not like politicians. I have my reasons. But the way Folha pursues Bolsonaro with Fake News is bizarre. For these and others has been losing credibility.;Neg,Neu,Pos,Compound;0.165;0.661;0.173;0.1007
0;   Pelo visto você não difere disso, é só ser contrariado que sai xingando e ofendendo, latindo igual uma cadela louca, é assim que quer ser ouvido? São igual à esquerda, defendendo político de estimação.;Apparently you do not differ from that, just be annoyed that you are cursing and offending, barking like a crazy bitch, is that how you want to be heard? They are equal to the left, defending pet politician.;Neg,Neu,Pos,Compound;0.258;0.661;0.081;-0.8519
1;  Eu sei...sou coerente e realista! Só trabalho com verdades 👍;"I know ... I&#39;m coherent and realistic! I only work with truths";Neg,Neu,Pos,Compound;0.0;0.744;0.256;0.4753
0;  Já a sua bate certinho...;Already your right hit ...;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;"Mais um exemplo de como as estatais são estratégias apenas para os políticos: são usadas como fonte de corrupção e cabide de empregos para indicações políticas.
Estarei em Sergipe na quinta-feira para conversar com os sergipanos sobre esse e outros assuntos. #VamosRenovarTudo ";"One more example of how state companies are strategies for politicians only: they are used as a source of corruption and a job hanger for political indications. I&#39;ll be in Sergipe on Thursday to talk to the Sergipeans about this and other issues. Let&#39;s go to renew everything";Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0; #eleiçõesSTF ou vc acha que o Amoedo também não vai indicar?;# ElectionsSTF or do you think Amoedo will not indicate either?;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
